economy,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,1.42796315615,1.27998436325,1.26284847279,1.27958797101,1.28324099151,1.36132059989,1.4713047354,1.3671402938,1.34953648402,1.2775217166,1.34796051496,1.59150750917,1.54966720695,1.72524125735,1.93335188546,1.83999601814,1.54042416025,1.35915280527,1.31200558135,1.32780559052,1.19487552557,1.19676051208,1.28082432704,1.08959850246,0.96908497798,0.9656810408,1.03634461615,1.10958583955,1.33166804888,1.34498036691,1.3046164938,1.33898111293,1.43863542393,1.45319041492,1.33123048331,1.44251004513,1.5075713615
AUT,0.85783376786,0.8425660241,0.89629909189,0.77165633978,0.79383848413,0.75669897099,0.839725496,0.83172649094,0.75454563534,0.77446086914,0.88434618776,0.89866592894,0.93852901307,1.08500649599,1.11686107983,1.06072678607,0.88504757129,0.8047055012,0.80459478294,0.79669233336,0.73050689653,0.68335173036,0.71926203913,0.7550221677,0.71904440154,0.77784497035,0.75301920665,0.75369614286,0.9007476221,0.90433493697,0.88690836099,0.84676949126,0.8930961998,0.87738382839,0.84518008154,0.95094414865,0.92602955968
AZE,,,,,,0.01195618891,0.0209602324,0.28014937385,0.99418131588,0.86232249174,0.79778121392,0.77366056528,0.82484028146,0.89490735624,0.93096524758,0.97209687951,0.9766237845,0.98423483252,0.94795115126,0.8966980943,0.86052726567,0.82368232715,0.80538409091,0.80334126984,0.78982125918,0.78514695166,0.78403468144,0.78379724575,1.02704327044,1.61123532609,1.72372496454,1.69650200909,1.69923125863,1.69953609817,1.70088445166,1.69612203165,1.6979952274
BDI,123.4664351233,140.28433475655,158.54159892712,171.12042594493,181.36950748146,208.13847374442,241.9031940782,255.50245158809,246.72790814341,269.03912578738,327.3213241442,383.62160187865,557.6645768265,712.66842093058,820.96514529535,918.02405441958,1055.33732793776,1074.72784722222,1059.66761600477,998.59793541,1081.73429703871,1185.35217593638,1230.14373332706,1230.74257167953,1260.50203766704,1441.70404445856,1562.74980509285,1558.42923078691,1570.21507974073,1621.52132364886,1726.42748425095,1780.71764525653,1844.15192369346,1913.68828245577,1973.62875563594,2036.13360129909,2523.79409719128
BEL,0.85783376786,0.8425660241,0.89629909189,0.77165633978,0.79383848413,0.75669897099,0.839725496,0.83172649094,0.75454563534,0.77446086914,0.88434618776,0.89866592894,0.93852901307,1.08500649599,1.11686107983,1.06072678607,0.88504757129,0.8047055012,0.80459478294,0.79669233336,0.73050689653,0.68335173036,0.71926203913,0.7550221677,0.71904440154,0.77784497035,0.75301920665,0.75369614286,0.9007476221,0.90433493697,0.88690836099,0.84676949126,0.8930961998,0.87738382839,0.84518008154,0.95094414865,0.92602955968
BEN,300.5375,297.85,319.00916666667,272.26583333333,282.10833333333,264.69416666667,283.1625,555.20583333333,499.15,511.55166666667,583.67083333333,589.9525,615.67333333333,711.83166666667,732.89916666667,696.38166666667,581.05916666667,528.12333333333,527.79,522.86,479.26416666667,448.21583333333,472.02416666667,495.31083333333,471.76583333333,510.51416666667,494.04583333333,494.41416666667,591.45,593.01416666667,582.03,555.7,585.95916666667,575.5875,554.53083333333,623.76083333333,607.031
BFA,300.5375,297.85,319.00916666667,272.26583333333,282.10833333333,264.69416666667,283.1625,555.20583333333,499.15,511.55166666667,583.67083333333,589.9525,615.67333333333,711.83166666667,732.89916666667,696.38166666667,581.05916666667,528.12333333333,527.79,522.86,479.26416666667,448.21583333333,472.02416666667,495.31083333333,471.76583333333,510.51416666667,494.04583333333,494.41416666667,591.45,593.01416666667,582.03,555.7,585.95916666667,575.5875,554.53083333333,623.76083333333,607.031
BGD,30.59523222781,31.36967306533,31.90027336683,34.17274359464,36.17689037856,38.50448833836,39.18529491298,39.8955329518,39.94192476002,41.40093810779,43.51248578957,46.54471696781,48.95126351245,52.16336062488,55.94687431379,57.50227515842,58.2401849473,59.31805906111,64.13772746879,68.76855337929,68.86907881141,68.57998429167,69.02663967313,69.60686583616,74.05907876906,81.83791745875,78.07999304771,77.55205547321,77.94732479296,78.44051184167,80.96424298105,83.72766801177,84.38983253537,84.8625678361,85.06236898841,93.38605287149,107.82869653182
BGR,0.00084586466,0.00079495614,0.0007518797,0.001464599,0.01672149123,0.02192982456,0.02671242314,0.05411836455,0.06718161585,0.17824202899,1.58901654409,1.75446259302,1.82812955408,2.11376441943,2.17698578448,2.06885245742,1.72765431097,1.57230536812,1.57427852673,1.55888315962,1.42921274782,1.33644907146,1.40760137791,1.47688198444,1.4064838823,1.52144783942,1.47288659656,1.47428420384,1.76185331113,1.7689575471,1.73477200622,1.65631781984,1.74706458294,1.71635753929,1.6532315088,1.86007995051,1.81127024012
BHR,0.378,0.378,0.37800724638,0.37739861478,0.37633571941,0.37640209941,0.37738804818,0.37705427881,0.377,0.377,0.377,0.37699206349,0.377,0.377,0.377,0.37699637681,0.377,0.377,0.377,0.377,0.37680645743,0.37691011826,0.37699637681,0.377,0.377,0.37698445401,0.377,0.37700362319,0.37703156637,0.37700396825,0.37706307978,0.37730664283,0.37700362319,0.37779166667,0.378,0.378,0.378
BHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99984379509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000097481,1.00002993875,1.00004892873,1.00000396825,1.0,1.0
BIH,,,,,,,,,,,1.71573123302,1.74106042556,1.81636365327,2.10533285264,2.17268602445,2.06310604767,1.72368408664,1.57431549986,1.57422065766,1.55890429411,1.42898358351,1.33479323279,1.4072818072,1.47659556748,1.40620232762,1.52155549674,1.47292409107,1.47432090156,1.76192715473,1.76891937351,1.73475857846,1.66230261379,1.75105902464,1.71705885995,1.65386530013,1.85993069162,1.81134372171
BLR,,,,,,,,0.00074157648,0.0011830912,0.00143750894,0.01201420525,0.00464673575,0.02501127884,0.07168768305,0.13828597763,0.17834014191,0.20464180389,0.21649720252,0.21561445982,0.21458419317,0.21473629972,0.21362850245,0.27898627619,0.29800539675,0.51976700656,0.83603723814,0.89050873918,1.02467552662,1.59663126738,1.99028094718,1.93245843987,2.03940230833,2.09120632242,2.44266615515,2.53689733229,2.74724446166,3.10524914481
BLZ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
